proposedItemNum,desiredItemNum,proposedDate,decisionDate,status
116,5288,2022-04-28,2022-05-06,Accepted
117,2407,2022-06-07,,Pending
119,33,2022-05-02,2022-05-10,Rejected
119,6339,2022-06-02,,Pending
120,2224,2022-04-29,2022-06-14,Accepted
122,835,2022-04-19,2022-05-02,Accepted
123,6861,2022-04-15,,Pending
124,698,2022-04-28,2022-05-20,Accepted
126,277,2022-05-09,2022-05-10,Rejected
129,2687,2022-06-02,,Pending
130,4205,2022-04-20,2022-04-25,Accepted
132,4798,2022-05-31,,Pending
135,3182,2022-04-15,2022-06-02,Accepted
136,5062,2022-04-29,2022-05-23,Accepted
136,6521,2022-04-19,2022-04-26,Rejected
137,92,2022-04-18,2022-04-27,Rejected
137,2188,2022-04-28,2022-06-08,Accepted
138,83,2022-04-26,2022-05-24,Accepted
139,3781,2022-04-26,2022-04-28,Accepted
141,2519,2022-04-21,2022-06-08,Rejected
143,2840,2022-05-31,2022-06-07,Accepted
146,6786,2022-04-25,2022-06-14,Accepted
150,1935,2022-04-21,2022-05-19,Accepted
151,3067,2022-04-25,2022-05-11,Accepted
154,6333,2022-04-15,2022-04-25,Accepted
158,2204,2022-05-05,2022-05-25,Accepted
161,5669,2022-04-20,2022-05-12,Accepted
163,4981,2022-05-10,2022-05-18,Rejected
167,5386,2022-04-22,2022-04-25,Rejected
170,2809,2022-04-20,2022-05-05,Accepted
171,2768,2022-04-25,2022-06-08,Rejected
172,6800,2022-04-15,2022-04-22,Accepted
174,1480,2022-04-18,2022-05-31,Accepted
176,3048,2022-04-15,2022-05-24,Accepted
179,2528,2022-05-10,2022-05-23,Rejected
181,2639,2022-04-18,2022-04-26,Accepted
182,446,2022-05-10,,Pending
182,3865,2022-04-26,2022-05-10,Rejected
183,5097,2022-04-21,2022-04-26,Accepted
186,5788,2022-04-26,2022-05-03,Accepted
187,4633,2022-04-27,,Pending
188,5399,2022-05-16,2022-05-24,Rejected
189,2191,2022-04-19,2022-05-11,Rejected
189,4118,2022-05-12,2022-05-25,Accepted
190,3188,2022-05-26,,Pending
191,595,2022-05-04,2022-06-01,Accepted
193,6934,2022-05-20,2022-06-07,Accepted
194,6668,2022-04-20,2022-04-25,Rejected
195,5792,2022-04-22,2022-05-20,Accepted
196,6008,2022-05-30,,Pending
197,7197,2022-04-21,2022-05-25,Rejected
198,4617,2022-04-19,2022-04-26,Accepted
199,1392,2022-05-30,2022-06-13,Accepted
200,2783,2022-05-26,,Pending
211,1052,2022-04-27,2022-05-17,Rejected
211,5400,2022-06-01,2022-06-03,Rejected
212,6518,2022-04-25,2022-05-13,Rejected
213,1496,2022-05-12,2022-05-23,Accepted
213,5071,2022-04-19,2022-05-12,Rejected
214,4636,2022-05-19,2022-05-26,Accepted
219,1910,2022-04-20,2022-04-29,Accepted
221,4860,2022-05-04,2022-05-20,Accepted
222,700,2022-05-05,,Pending
222,874,2022-04-15,2022-04-29,Rejected
223,2743,2022-05-06,2022-05-18,Accepted
224,3312,2022-04-19,2022-05-30,Rejected
225,5919,2022-04-25,2022-05-03,Accepted
226,984,2022-05-05,2022-05-06,Rejected
227,1016,2022-04-22,2022-05-05,Accepted
229,1246,2022-04-18,,Pending
237,1274,2022-05-09,2022-05-11,Rejected
239,6434,2022-04-21,2022-05-06,Rejected
241,5904,2022-04-15,2022-04-27,Accepted
242,5726,2022-05-06,2022-06-08,Rejected
246,4511,2022-05-04,,Pending
247,449,2022-05-18,2022-05-19,Accepted
249,4737,2022-04-27,2022-06-13,Accepted
250,1922,2022-04-20,2022-05-04,Accepted
253,1180,2022-04-19,2022-04-29,Rejected
253,2864,2022-05-13,2022-06-14,Rejected
254,1614,2022-04-20,2022-04-26,Accepted
256,5903,2022-04-28,2022-05-04,Accepted
258,6088,2022-06-10,,Pending
264,4211,2022-04-18,2022-05-09,Accepted
265,2792,2022-05-25,2022-06-09,Rejected
265,6377,2022-06-09,,Pending
266,143,2022-05-24,2022-05-27,Rejected
268,4754,2022-05-17,2022-05-23,Rejected
269,1216,2022-05-12,,Pending
271,7068,2022-04-22,,Pending
272,6659,2022-06-07,2022-06-08,Accepted
274,4276,2022-05-27,,Pending
275,3335,2022-06-08,,Pending
277,5848,2022-05-17,2022-06-06,Rejected
278,1428,2022-05-02,,Pending
279,1210,2022-04-18,2022-04-20,Rejected
280,460,2022-04-25,2022-04-28,Accepted
281,323,2022-04-29,2022-05-25,Rejected
283,53,2022-04-19,2022-04-25,Rejected
284,1644,2022-04-18,2022-05-17,Rejected
285,2416,2022-04-22,,Pending
290,2154,2022-04-20,2022-04-29,Accepted
291,517,2022-06-01,,Pending
292,3103,2022-04-15,2022-04-20,Accepted
295,2158,2022-06-10,,Pending
296,5030,2022-05-12,2022-06-06,Accepted
299,2056,2022-04-15,2022-04-29,Rejected
301,1664,2022-06-08,,Pending
301,3745,2022-04-18,2022-05-17,Rejected
302,6536,2022-06-08,,Pending
304,7202,2022-05-20,2022-05-25,Accepted
305,5438,2022-04-18,2022-05-04,Accepted
306,2410,2022-05-11,2022-06-13,Rejected
307,147,2022-05-04,2022-05-23,Accepted
308,651,2022-05-18,2022-06-08,Accepted
309,1009,2022-04-20,2022-05-04,Rejected
309,5406,2022-05-10,2022-05-19,Accepted
311,2449,2022-04-18,2022-06-01,Accepted
312,6689,2022-05-27,2022-06-02,Rejected
313,3019,2022-06-03,2022-06-08,Rejected
314,88,2022-04-19,2022-04-21,Accepted
317,6737,2022-04-15,2022-04-25,Accepted
319,6126,2022-04-25,,Pending
320,6921,2022-04-26,2022-05-02,Rejected
322,2745,2022-04-21,2022-04-26,Rejected
328,6822,2022-04-22,2022-04-25,Accepted
329,924,2022-05-18,2022-05-25,Rejected
330,5640,2022-05-05,2022-06-10,Accepted
331,3886,2022-05-03,2022-05-09,Rejected
331,4100,2022-04-15,2022-04-27,Rejected
335,1538,2022-04-15,2022-05-04,Accepted
336,7050,2022-04-21,2022-05-24,Rejected
337,4182,2022-04-28,2022-04-29,Accepted
338,4650,2022-05-02,2022-05-23,Rejected
338,5874,2022-05-23,,Pending
339,4822,2022-04-25,2022-05-04,Rejected
342,3496,2022-04-15,2022-04-27,Rejected
342,7325,2022-06-02,,Pending
343,2058,2022-04-25,2022-04-28,Accepted
346,961,2022-06-01,,Pending
349,2149,2022-05-03,2022-05-31,Accepted
350,5742,2022-04-22,2022-05-13,Accepted
351,5064,2022-05-06,2022-06-03,Rejected
355,6884,2022-05-27,,Pending
356,6855,2022-04-27,2022-06-10,Accepted
357,3976,2022-04-18,2022-05-03,Rejected
358,4921,2022-05-19,2022-05-24,Rejected
359,1903,2022-05-02,2022-05-05,Accepted
361,1227,2022-06-07,,Pending
363,6598,2022-05-30,,Pending
365,5024,2022-04-20,,Pending
366,5177,2022-04-19,2022-04-29,Accepted
368,2491,2022-05-09,2022-05-17,Rejected
368,2656,2022-06-06,,Pending
370,5413,2022-05-16,2022-05-18,Accepted
372,6954,2022-04-15,,Pending
373,2704,2022-04-28,2022-05-27,Rejected
376,6587,2022-05-06,2022-05-16,Rejected
379,4336,2022-04-25,2022-05-10,Accepted
380,4299,2022-04-15,2022-04-28,Accepted
381,7385,2022-04-21,2022-05-30,Accepted
384,6289,2022-05-02,2022-05-13,Accepted
388,909,2022-06-06,2022-06-10,Accepted
393,7114,2022-04-18,2022-04-19,Accepted
396,5289,2022-04-18,2022-06-01,Rejected
398,5786,2022-05-02,2022-05-10,Rejected
399,251,2022-04-27,,Pending
401,4073,2022-05-24,2022-06-02,Accepted
401,5537,2022-04-20,2022-05-09,Rejected
406,2907,2022-05-02,2022-05-26,Accepted
409,2296,2022-06-03,,Pending
410,6351,2022-04-27,2022-04-29,Accepted
411,2610,2022-04-21,2022-04-22,Accepted
414,3838,2022-05-02,2022-05-16,Accepted
415,190,2022-04-18,2022-05-25,Rejected
418,5237,2022-04-26,2022-04-29,Accepted
419,4982,2022-05-05,2022-05-13,Accepted
420,2237,2022-04-15,2022-04-20,Rejected
426,100,2022-04-18,2022-04-21,Rejected
426,1377,2022-04-28,2022-05-04,Rejected
426,5335,2022-06-10,,Pending
427,2890,2022-04-19,2022-05-25,Rejected
427,7098,2022-05-27,2022-05-31,Accepted
428,2772,2022-05-30,2022-06-13,Rejected
430,3556,2022-04-26,2022-04-29,Accepted
436,5933,2022-04-25,2022-05-25,Accepted
440,4144,2022-06-10,,Pending
441,1711,2022-05-31,,Pending
445,5405,2022-04-18,,Pending
450,3493,2022-05-04,2022-05-26,Rejected
450,4601,2022-04-20,2022-05-04,Rejected
451,2166,2022-05-25,,Pending
452,676,2022-04-27,2022-05-03,Rejected
453,4900,2022-05-03,2022-05-17,Accepted
454,1346,2022-04-15,2022-04-18,Accepted
455,3216,2022-05-04,2022-06-09,Accepted
459,1171,2022-04-29,,Pending
461,4150,2022-05-18,2022-05-20,Accepted
464,7326,2022-04-15,2022-04-28,Rejected
466,3377,2022-04-27,2022-05-19,Rejected
468,4508,2022-05-03,2022-05-06,Rejected
470,6120,2022-04-25,2022-04-27,Accepted
471,713,2022-04-15,2022-04-19,Rejected
471,2670,2022-04-20,2022-04-28,Accepted
473,6483,2022-04-20,2022-04-21,Rejected
474,1849,2022-04-21,2022-04-28,Accepted
476,1197,2022-04-19,2022-04-25,Rejected
477,933,2022-05-17,2022-05-23,Rejected
478,2819,2022-06-02,,Pending
479,5176,2022-04-22,2022-05-10,Accepted
480,2257,2022-05-03,2022-05-09,Accepted
481,6893,2022-05-11,2022-05-16,Accepted
482,7254,2022-04-20,2022-05-16,Accepted
484,6385,2022-05-02,,Pending
485,2532,2022-04-22,2022-06-02,Rejected
486,7389,2022-04-19,2022-05-02,Rejected
489,4696,2022-05-09,,Pending
491,4659,2022-04-15,2022-04-28,Accepted
495,3566,2022-06-02,2022-06-13,Rejected
500,1178,2022-05-03,,Pending
501,4279,2022-04-22,2022-04-29,Accepted
505,2470,2022-04-15,2022-05-04,Accepted
506,2784,2022-05-11,2022-06-01,Rejected
507,131,2022-04-20,2022-05-13,Accepted
508,4509,2022-04-18,2022-04-20,Accepted
509,6077,2022-06-02,,Pending
510,4668,2022-05-02,,Pending
511,400,2022-04-15,,Pending
512,1368,2022-05-03,2022-06-02,Rejected
513,1207,2022-04-19,2022-04-21,Accepted
514,2097,2022-05-10,2022-06-07,Accepted
516,3009,2022-04-20,2022-05-06,Accepted
518,3636,2022-04-19,2022-04-20,Rejected
518,7388,2022-04-21,2022-04-25,Rejected
519,4471,2022-06-10,,Pending
520,5971,2022-05-02,2022-06-10,Accepted
522,5690,2022-04-25,,Pending
525,6419,2022-04-26,2022-05-04,Accepted
526,5753,2022-04-25,2022-05-02,Accepted
528,5464,2022-04-19,2022-06-14,Rejected
529,2590,2022-05-11,2022-05-27,Rejected
530,3387,2022-06-08,,Pending
530,5448,2022-04-18,2022-05-27,Rejected
531,2,2022-04-15,2022-05-09,Accepted
532,4327,2022-04-15,2022-04-18,Rejected
534,3754,2022-04-18,2022-05-12,Accepted
535,5124,2022-04-25,,Pending
537,2091,2022-05-31,2022-06-09,Rejected
540,4066,2022-04-15,2022-05-04,Accepted
542,3787,2022-04-20,,Pending
545,2683,2022-05-19,2022-06-06,Accepted
547,5337,2022-04-15,2022-04-18,Accepted
549,3607,2022-06-07,,Pending
551,1682,2022-04-19,2022-05-30,Rejected
552,2848,2022-04-26,2022-04-28,Accepted
553,3846,2022-04-20,2022-06-09,Rejected
554,2687,2022-04-20,2022-05-12,Rejected
556,6033,2022-05-02,2022-05-26,Accepted
561,5208,2022-04-25,2022-06-06,Rejected
562,7339,2022-04-22,2022-05-24,Accepted
563,4605,2022-06-13,,Pending
564,5727,2022-04-27,2022-05-20,Accepted
565,6140,2022-06-10,2022-06-13,Accepted
568,4572,2022-04-15,2022-05-10,Accepted
571,1900,2022-05-18,2022-05-23,Rejected
572,2781,2022-06-13,,Pending
579,4307,2022-04-18,2022-05-04,Rejected
581,4422,2022-05-02,2022-05-31,Accepted
582,4002,2022-04-25,,Pending
587,2505,2022-05-04,2022-05-23,Rejected
595,959,2022-05-03,2022-05-04,Rejected
597,7266,2022-06-08,,Pending
598,2205,2022-06-13,,Pending
599,1977,2022-05-04,2022-05-17,Accepted
600,6877,2022-04-22,,Pending
602,1108,2022-04-21,2022-04-27,Accepted
605,6137,2022-06-08,,Pending
606,6142,2022-04-18,2022-06-06,Accepted
607,6399,2022-05-23,,Pending
609,2969,2022-04-20,2022-04-25,Rejected
610,824,2022-05-12,2022-05-30,Accepted
611,1961,2022-04-15,2022-05-03,Rejected
613,2748,2022-04-22,2022-06-07,Accepted
614,6440,2022-04-25,2022-05-12,Accepted
618,1417,2022-05-11,2022-05-24,Accepted
618,5886,2022-04-20,2022-05-03,Rejected
621,5073,2022-04-19,2022-06-01,Accepted
629,5455,2022-06-08,,Pending
629,5606,2022-05-04,2022-05-27,Rejected
630,2987,2022-04-15,2022-04-22,Accepted
633,604,2022-04-15,2022-05-27,Accepted
634,5623,2022-04-21,2022-05-10,Accepted
639,121,2022-04-18,2022-04-28,Accepted
641,2209,2022-04-19,2022-04-29,Accepted
643,4562,2022-04-25,2022-05-31,Rejected
644,1957,2022-04-27,2022-05-04,Rejected
648,416,2022-05-03,,Pending
652,1930,2022-04-27,2022-05-23,Accepted
654,825,2022-04-21,,Pending
655,4946,2022-04-15,2022-06-06,Rejected
659,3971,2022-04-29,2022-06-09,Rejected
662,4068,2022-04-25,2022-05-25,Rejected
663,998,2022-05-16,2022-06-09,Accepted
665,2741,2022-05-17,2022-06-14,Rejected
667,2020,2022-04-19,2022-04-20,Accepted
669,4441,2022-05-18,2022-06-09,Accepted
678,6015,2022-04-26,2022-05-19,Accepted
679,6370,2022-04-18,,Pending
681,2986,2022-05-04,2022-05-11,Rejected
683,645,2022-04-15,2022-06-08,Accepted
685,1364,2022-04-22,2022-04-26,Rejected
685,4282,2022-04-28,2022-05-06,Accepted
686,6498,2022-05-12,2022-05-17,Rejected
687,536,2022-04-18,2022-05-23,Accepted
693,4434,2022-04-15,2022-04-25,Accepted
697,6652,2022-04-26,2022-05-19,Accepted
699,1776,2022-04-21,2022-04-22,Accepted
701,5898,2022-05-16,2022-05-26,Accepted
702,692,2022-06-06,,Pending
706,1411,2022-04-15,2022-05-19,Accepted
717,5939,2022-04-19,2022-05-24,Accepted
718,650,2022-04-26,2022-05-09,Accepted
719,5072,2022-05-02,2022-05-13,Accepted
720,1525,2022-04-19,2022-04-22,Rejected
722,6543,2022-04-21,2022-05-20,Accepted
723,3734,2022-06-01,2022-06-03,Accepted
726,4338,2022-04-28,2022-05-02,Accepted
728,537,2022-04-25,2022-05-20,Rejected
729,7282,2022-06-06,,Pending
732,4102,2022-04-20,,Pending
733,4485,2022-05-19,2022-05-23,Rejected
734,1738,2022-04-29,2022-05-05,Rejected
734,4506,2022-05-10,2022-05-31,Rejected
735,7095,2022-04-21,2022-05-11,Accepted
737,5766,2022-05-09,2022-05-31,Rejected
739,2426,2022-04-20,2022-05-20,Accepted
744,367,2022-04-26,2022-05-17,Accepted
746,2452,2022-04-27,2022-05-18,Accepted
747,3703,2022-05-13,2022-06-01,Accepted
748,3286,2022-05-05,,Pending
749,3114,2022-05-11,2022-05-12,Accepted
750,4812,2022-04-15,,Pending
752,2652,2022-04-20,2022-04-27,Rejected
753,1851,2022-05-04,2022-06-10,Accepted
758,4477,2022-04-15,2022-05-02,Rejected
758,4997,2022-05-03,2022-05-04,Rejected
758,6328,2022-05-12,,Pending
761,4366,2022-04-22,2022-05-04,Rejected
763,261,2022-04-20,2022-05-30,Rejected
764,6163,2022-04-15,2022-05-02,Accepted
766,1186,2022-04-26,2022-05-03,Accepted
769,2328,2022-04-21,2022-04-26,Accepted
770,1805,2022-04-20,2022-04-25,Rejected
770,3354,2022-05-06,2022-05-26,Accepted
773,5114,2022-04-19,2022-05-25,Rejected
774,7102,2022-05-19,2022-06-03,Rejected
778,4779,2022-04-21,,Pending
779,2033,2022-04-19,,Pending
780,4986,2022-05-26,2022-06-01,Rejected
780,6401,2022-04-29,2022-05-02,Rejected
781,7016,2022-04-25,2022-05-20,Rejected
783,4788,2022-05-10,2022-05-12,Rejected
784,1893,2022-04-21,2022-05-02,Accepted
785,5634,2022-04-15,2022-05-10,Accepted
786,1159,2022-05-16,,Pending
786,3438,2022-05-03,2022-05-16,Rejected
787,6637,2022-05-05,2022-06-07,Rejected
788,4539,2022-06-03,2022-06-07,Rejected
791,6172,2022-04-25,2022-04-26,Accepted
796,1396,2022-04-20,2022-05-20,Accepted
797,1634,2022-04-15,2022-04-21,Rejected
797,2382,2022-04-22,2022-05-17,Accepted
798,4106,2022-04-28,2022-05-10,Rejected
800,7008,2022-04-18,2022-05-11,Accepted
801,1011,2022-05-17,2022-05-19,Accepted
802,4755,2022-04-18,2022-04-21,Accepted
803,7332,2022-04-15,2022-05-17,Accepted
804,6131,2022-04-27,2022-04-29,Accepted
805,3534,2022-05-20,2022-05-30,Accepted
806,1322,2022-04-21,2022-04-29,Accepted
807,578,2022-04-19,2022-06-01,Accepted
810,2142,2022-04-18,2022-06-02,Accepted
812,6346,2022-04-26,2022-05-09,Accepted
813,405,2022-05-02,,Pending
814,6764,2022-05-10,,Pending
815,2594,2022-05-31,2022-06-02,Rejected
815,2973,2022-06-07,2022-06-09,Accepted
821,5194,2022-04-22,2022-04-26,Rejected
822,942,2022-05-05,2022-06-10,Rejected
827,628,2022-04-18,2022-05-06,Accepted
828,2828,2022-04-25,2022-05-10,Rejected
830,6460,2022-04-26,2022-05-20,Accepted
831,5234,2022-04-15,2022-04-20,Rejected
832,670,2022-04-15,2022-05-17,Accepted
836,4838,2022-05-03,2022-05-17,Rejected
836,6230,2022-06-08,,Pending
838,6837,2022-05-12,2022-06-02,Accepted
840,7345,2022-04-26,2022-05-09,Rejected
842,3166,2022-05-10,2022-05-31,Accepted
844,4644,2022-04-15,2022-04-20,Accepted
847,5979,2022-04-19,2022-05-19,Rejected
848,6753,2022-05-04,2022-05-06,Accepted
849,1197,2022-06-13,,Pending
850,4872,2022-04-22,2022-05-05,Rejected
852,7017,2022-04-15,2022-04-21,Accepted
853,245,2022-04-20,2022-06-03,Accepted
858,434,2022-04-20,2022-05-10,Accepted
863,411,2022-04-19,2022-04-21,Rejected
864,6240,2022-05-17,2022-06-10,Accepted
865,7136,2022-04-29,2022-05-18,Accepted
867,1415,2022-06-09,2022-06-13,Accepted
869,955,2022-04-20,2022-05-19,Accepted
872,7227,2022-04-22,2022-05-03,Rejected
873,5513,2022-04-19,,Pending
874,5508,2022-05-06,2022-05-17,Accepted
876,2560,2022-04-19,2022-06-03,Accepted
876,5351,2022-04-18,2022-04-19,Rejected
878,720,2022-05-06,2022-06-14,Accepted
879,3392,2022-04-15,2022-05-02,Accepted
880,2955,2022-05-19,2022-05-30,Rejected
883,5048,2022-04-20,2022-05-09,Accepted
885,6217,2022-05-12,2022-05-13,Accepted
886,4394,2022-04-18,2022-04-19,Rejected
889,257,2022-05-05,2022-05-19,Accepted
891,4183,2022-04-18,2022-05-17,Accepted
893,4730,2022-04-20,2022-04-28,Accepted
896,5061,2022-05-25,2022-06-14,Accepted
897,2474,2022-05-10,2022-05-20,Accepted
898,3028,2022-04-22,2022-06-06,Rejected
899,4621,2022-04-20,2022-04-26,Accepted
901,2508,2022-04-18,,Pending
902,5859,2022-04-15,2022-04-22,Rejected
902,5882,2022-04-25,,Pending
903,711,2022-05-06,2022-05-30,Rejected
904,4739,2022-04-19,2022-05-19,Accepted
906,3075,2022-04-15,2022-04-26,Accepted
907,7006,2022-05-20,,Pending
908,197,2022-06-01,,Pending
911,6529,2022-05-19,,Pending
912,4160,2022-04-15,2022-04-27,Rejected
913,3306,2022-04-20,2022-05-24,Accepted
914,1796,2022-05-27,,Pending
914,2908,2022-04-19,2022-05-24,Rejected
916,3964,2022-04-18,2022-05-10,Accepted
917,4228,2022-04-20,2022-06-02,Accepted
918,3529,2022-05-25,2022-06-06,Accepted
920,5386,2022-04-26,2022-05-09,Rejected
920,5610,2022-05-09,2022-05-30,Accepted
925,72,2022-06-06,,Pending
927,3701,2022-06-01,2022-06-14,Accepted
928,1432,2022-05-16,,Pending
929,6814,2022-04-20,2022-05-02,Accepted
930,6709,2022-04-21,2022-04-26,Rejected
931,4908,2022-04-15,2022-04-19,Rejected
932,4149,2022-05-09,2022-05-12,Rejected
934,7000,2022-04-27,2022-05-12,Accepted
935,4302,2022-04-20,2022-05-06,Accepted
936,2253,2022-04-21,2022-06-03,Accepted
938,5547,2022-04-18,2022-05-24,Accepted
940,2060,2022-06-03,,Pending
941,3374,2022-04-21,,Pending
943,5274,2022-04-15,2022-04-27,Accepted
944,5517,2022-04-20,2022-05-09,Accepted
945,3899,2022-04-15,2022-05-30,Accepted
946,2943,2022-05-10,2022-05-19,Rejected
946,6395,2022-06-03,,Pending
947,7088,2022-05-11,2022-05-18,Rejected
952,868,2022-05-27,2022-06-10,Accepted
953,7098,2022-04-15,2022-05-19,Rejected
956,7009,2022-04-28,2022-06-06,Accepted
960,2075,2022-05-04,2022-05-24,Accepted
962,4284,2022-05-23,2022-05-30,Accepted
963,6928,2022-05-18,,Pending
966,4531,2022-04-27,,Pending
968,6357,2022-05-04,2022-05-18,Accepted
969,3531,2022-04-15,2022-04-20,Rejected
969,5888,2022-04-22,,Pending
970,469,2022-06-01,,Pending
970,2261,2022-04-19,2022-04-20,Rejected
970,2372,2022-04-21,2022-05-03,Rejected
971,3686,2022-04-15,2022-04-21,Accepted
974,4517,2022-04-22,2022-05-06,Accepted
977,3058,2022-04-26,,Pending
979,6973,2022-04-25,,Pending
980,570,2022-05-05,,Pending
981,1126,2022-04-18,2022-05-05,Accepted
983,4986,2022-04-15,2022-05-26,Rejected
985,105,2022-06-10,,Pending
989,3814,2022-04-28,2022-05-16,Rejected
991,7397,2022-04-27,2022-05-31,Accepted
993,2147,2022-05-30,2022-06-13,Accepted
994,3568,2022-06-01,,Pending
994,5267,2022-04-15,2022-05-13,Rejected
995,6949,2022-05-16,,Pending
996,1330,2022-04-18,2022-04-27,Rejected
999,6533,2022-06-09,,Pending
1003,3484,2022-05-12,2022-06-08,Accepted
1005,4941,2022-04-29,2022-05-06,Accepted
1006,754,2022-06-01,2022-06-03,Rejected
1007,2791,2022-04-19,2022-05-31,Rejected
1008,1208,2022-04-18,2022-05-20,Rejected
1009,3060,2022-05-12,2022-05-17,Accepted
1010,1896,2022-05-26,,Pending
1012,4902,2022-04-19,2022-04-27,Accepted
1013,3238,2022-06-02,2022-06-07,Accepted
1018,2767,2022-05-11,,Pending
1021,6815,2022-04-15,2022-04-18,Rejected
1024,3646,2022-04-21,2022-04-26,Rejected
1031,1323,2022-04-19,2022-05-06,Rejected
1031,1713,2022-05-09,2022-05-17,Rejected
1034,3481,2022-05-02,2022-05-25,Rejected
1035,4925,2022-04-25,2022-05-02,Accepted
1036,5991,2022-04-15,2022-05-03,Accepted
1038,5382,2022-04-26,2022-05-09,Accepted
1039,3015,2022-05-24,,Pending
1040,4840,2022-05-13,,Pending
1041,4537,2022-04-21,2022-05-20,Accepted
1042,5085,2022-04-15,2022-04-20,Accepted
1043,6330,2022-05-03,,Pending
1046,2323,2022-04-21,2022-05-02,Accepted
1047,3987,2022-05-04,2022-06-06,Accepted
1049,5006,2022-05-05,2022-05-12,Accepted
1053,7021,2022-04-15,,Pending
1055,5770,2022-04-19,,Pending
1056,3482,2022-06-01,2022-06-09,Rejected
1059,3935,2022-04-18,2022-04-20,Accepted
1060,1170,2022-06-13,,Pending
1060,6768,2022-05-19,2022-06-10,Rejected
1063,656,2022-04-25,2022-04-26,Rejected
1063,5488,2022-05-12,2022-05-17,Accepted
1067,870,2022-04-26,2022-05-03,Accepted
1073,922,2022-04-15,2022-06-08,Accepted
1077,5235,2022-04-27,2022-05-04,Accepted
1080,3356,2022-04-15,,Pending
1083,3148,2022-04-25,2022-05-10,Accepted
1087,2744,2022-05-31,2022-06-03,Accepted
1088,727,2022-06-13,,Pending
1090,4392,2022-05-20,,Pending
1091,4255,2022-04-15,2022-05-02,Rejected
1092,2488,2022-04-20,,Pending
1093,2528,2022-05-03,2022-05-04,Rejected
1098,6435,2022-05-09,2022-06-10,Rejected
1100,333,2022-04-19,2022-05-12,Rejected
1103,765,2022-04-27,2022-04-28,Accepted
1110,6960,2022-04-15,,Pending
1111,2587,2022-04-21,2022-05-24,Rejected
1112,4057,2022-04-18,,Pending
1113,4269,2022-05-17,2022-05-19,Accepted
1113,6958,2022-04-19,2022-04-22,Rejected
1113,7366,2022-05-05,2022-05-06,Rejected
1115,7223,2022-04-15,2022-05-31,Rejected
1116,1521,2022-04-26,2022-04-28,Accepted
1117,3979,2022-04-22,2022-05-04,Rejected
1120,5946,2022-05-04,2022-05-12,Rejected
1121,2285,2022-06-01,,Pending
1121,2919,2022-05-06,2022-06-01,Rejected
1122,433,2022-04-15,2022-05-03,Accepted
1125,7062,2022-04-26,2022-05-04,Accepted
1127,1968,2022-04-19,,Pending
1130,4167,2022-05-05,2022-05-12,Rejected
1130,4387,2022-05-24,2022-06-14,Accepted
1133,4698,2022-04-15,2022-05-06,Accepted
1134,6671,2022-04-19,2022-05-05,Accepted
1135,206,2022-04-28,,Pending
1136,3522,2022-04-26,,Pending
1137,2863,2022-05-18,2022-06-03,Accepted
1139,5675,2022-05-23,2022-06-13,Accepted
1140,2043,2022-04-22,2022-04-29,Accepted
1141,83,2022-04-18,2022-04-25,Rejected
1144,4257,2022-05-12,,Pending
